nimi,numero,kategoria,oma_arvo_eur,markkinahinta_eur,markkinahinta_varastossa
Electrode,40/108,Kiilto,1,1,7
Switch,88/108,Trainer,1,1,2
Ampharos,029/086,Bulk,1.0,,
Trevenant,039/086,Bulk,1.0,,
Trevenant,039/086,Bulk,1.0,,
Vileplume,003/094,Bulk,1.0,,
Yveltal,088/132,Bulk,1.0,,
Piplup,20/25,Pienet sarjat,0.98,,
Piplup,20/25,Pienet sarjat,0.98,,
Piplup,20/25,Pienet sarjat,0.98,,
Mudkip,19/25,Pienet sarjat,0.84,,
Frogadier,40/146,Kiilto,0.75,0.75,0
Frozen City,100/116,Kiilto,0.75,0.75,0
Reshiram,2/25,Kiilto,0.75,0.75,26
Blastoise Spirit Link,73/108,Trainer,0.75,0.75,10
Galarian Zigzagoon,130/217,Bulk,0.75,,
Swellow,104/145,Tähti,0.75,0.75,0
Lapras,5/12,Kiilto,0.64,,
Parasect,48/123,Vanhat,0.63,,
Totodile,18/25,Pienet sarjat,0.62,,
Metal Energy,80/90,Trainer,0.59,,
Sobble,24/25,Pienet sarjat,0.57,,
Sobble,24/25,Pienet sarjat,0.57,,
Sobble,24/25,Pienet sarjat,0.57,,
Alolan Sandshrew,4/12,Kiilto,0.55,,
Oddish,58/64,Vanhat,0.55,,
Pokémon Fan Club,94/106,Kiilto,0.5,0.5,4
Brock's Grit,74/108,Kiilto,0.5,0.5,0
Repel,130/149,Kiilto,0.5,0.5,3
Doctor,134/198,Kiilto,0.5,0.5,20
Wishful Baton,128/147,Kiilto,0.5,0.5,6
Tormenting Spray,125/147,Kiilto,0.5,0.5,7
Revavroom,142/198,Kiilto,0.5,0.5,25
Rattata,66/108,Vanhat,0.5,0.5,0
Pidgeot Spirit Link,81/108,Vanhat,0.5,0.5,12
Pidgeot Spirit Link,81/108,Vanhat,0.5,0.5,12
Eevee,12/12,Kiilto,0.46,,
Chikorita,2/25,Pienet sarjat,0.46,,
Watchog,071/086,Bulk,0.46,,
Staryu,56/64,Vanhat,0.45,,
Snivy,5/25,Pienet sarjat,0.45,,
Electivire,30/111,Vanhat,0.44,,
Scorbunny,16/25,Pienet sarjat,0.43,,
Drowzee,49/108,Vanhat,0.42,,
Starmie,73/160,Vanhat,0.41,,
Turtwig,4/25,Pienet sarjat,0.4,,
Treecko,3/25,Pienet sarjat,0.39,,
Rowlet,7/25,Pienet sarjat,0.38,,
Charmeleon,10/108,Vanhat,0.37,,
Chimchar,12/25,Pienet sarjat,0.37,,
Cosmog,013/025,Kiilto,0.35,,
Cosmog,013/025,Kiilto,0.35,,
Diglett,55/108,Vanhat,0.32,,
Onix,61/108,Vanhat,0.32,,
Diglett,55/108,Vanhat,0.32,,
Pikachu,35/108,Vanhat,0.32,,
Snorlax,80/106,Tähti,0.32,,
Carbink,117/217,Bulk,0.31,,
Aerodactyl,13/99,Kiilto,0.3,,
Clamperl,49/160,Kiilto,0.3,,
Corphish,42/160,Kiilto,0.3,,
Solgaleo GX,SM16,Kiilto,0.3,,
Life Forest (Prism Star),180/214,Kiilto,0.3,,
Magnemite,80/156,Kiilto,0.3,,
Weepinbell,2/111,Kiilto,0.3,,
Clefairy,144/236,Kiilto,0.3,,
Jangmo-o,98/145,Kiilto,0.3,,
Delibird,57/214,Kiilto,0.3,,
Loudred,136/185,Kiilto,0.3,,
Kakuna,4/146,Kiilto,0.3,,
Bidoof,106/146,Kiilto,0.3,,
Whismur,116/168,Kiilto,0.3,,
Durant,128/214,Kiilto,0.3,,
Taillow,103/145,Kiilto,0.3,,
Seedot,5/106,Kiilto,0.3,,
Metapod,2/106,Kiilto,0.3,,
Cherrim,11/156,Kiilto,0.3,,
Sharpedo,28/145,Kiilto,0.3,,
Growlithe,1/12,Kiilto,0.3,,
Dratini,9/12,Kiilto,0.3,,
Arctozolt,066/189,Kiilto,0.3,,
Mankey,8/12,Kiilto,0.3,,
Pikachu,25/25,Kiilto,0.3,,
Masquerain,8/149,Kiilto,0.3,,
Skuntank,55/106,Kiilto,0.3,,
Moltres ex,013/094,Bulk,0.3,,
Zekrom,010/025,Kiilto,0.29,,
Charmander,9/108,Vanhat,0.29,,
Team Aqua's Poochyena,55/95,Kiilto,0.28,,
Slugma,67/90,Pienet sarjat,0.28,,
"Fasasnob (Pidgeot, saksa)",86/114,Tähti,0.28,,
Caterpie,3/108,Vanhat,0.27,,
Caterpie,3/108,Vanhat,0.27,,
Wishiwashi,31/70,Pienet sarjat,0.27,,
Meditite,103/217,Bulk,0.25,,
Magikarp,33/108,Vanhat,0.24,,
Magikarp,33/108,Vanhat,0.24,,
Salazzle,035/217,Bulk,0.24,,
Growlithe,10/99,Pienet sarjat,0.23,,
Yanmega,4/119,Tähti,0.23,,
Raticate,34/90,Tähti,0.23,,
Golem,47/106,Tähti,0.23,,
Drapion,53/156,Tähti,0.23,,
Bagon,42/70,Pienet sarjat,0.2,,
Froakie,020/086,Bulk,0.2,,
Tangela,006/132,Bulk,0.2,,
Ninetales,020/133,Bulk,0.2,,
Beedrill,5/146,Kiilto,0.18,,
Magcargo,21/146,Kiilto,0.18,,
Gastly,92,Erikois,0.18,,
Gastly,92,Erikois,0.18,,
Kangaskhan,55/70,Pienet sarjat,0.18,,
Furret,82/106,Tähti,0.18,,
Golurk,72/101,Tähti,0.18,,
Sandshrew,54/108,Vanhat,0.16,,
Slugma,20/146,Kiilto,0.15,,
Kabuto,77/181,Kiilto,0.15,,
Litleo,50/214,Kiilto,0.15,,
Skiddo,011/198,Kiilto,0.15,,
Gothita,073/189,Kiilto,0.15,,
Omanyte,56/108,Kiilto,0.15,,
Dodrio,99/146,Kiilto,0.15,,
Zubat,64/214,Kiilto,0.15,,
Gastly,36/111,Kiilto,0.15,,
Tyrogue,100/214,Kiilto,0.15,,
Vanillish,34/145,Kiilto,0.15,,
Pidgey,122/181,Kiilto,0.15,,
Petilil,4/145,Kiilto,0.15,,
Rockruff,73/145,Kiilto,0.15,,
Doublade,61/122,Kiilto,0.15,,
Weepinbell,2/145,Kiilto,0.15,,
Piloswine,20/111,Kiilto,0.15,,
Noctowl,107/147,Kiilto,0.15,,
Mudkip,32/168,Kiilto,0.15,,
Buneary,84/106,Kiilto,0.15,,
Baltoy,57/163,Kiilto,0.15,,
Skwovet,152/189,Kiilto,0.15,,
Metang,94/168,Kiilto,0.15,,
Flabébé,62/106,Kiilto,0.15,,
Braixen,25/146,Kiilto,0.15,,
Shelmet,8/111,Kiilto,0.15,,
Ekans,47/146,Kiilto,0.15,,
Koffing,73/214,Kiilto,0.15,,
Carvanha,27/145,Kiilto,0.15,,
Roselia,8/106,Kiilto,0.15,,
Granbull,91/149,Kiilto,0.15,,
Trapinch,32/70,Kiilto,0.15,,
Gothita,52/145,Kiilto,0.15,,
Illumise,71/106,Kiilto,0.15,,
Shinx,74/99,Kiilto,0.15,,
Jigglypuff,14/18,Kiilto,0.15,,
Magmar,20/108,Vanhat,0.15,,
Porygon,71/108,Vanhat,0.15,,
Wormadam,44/124,Kiilto,0.14,,
Litten,26/214,Kiilto,0.14,,
Simisear,23/146,Kiilto,0.14,,
Warp Energy,95/100,Kiilto,0.14,,
Snom,052/217,Bulk,0.14,,
Poliwhirl,24/108,Vanhat,0.13,,
Tangela,8/108,Vanhat,0.13,,
Staryu,020/088,Bulk,0.11,,
Doduo,69/108,Vanhat,0.1,,
Litleo,19/106,Kiilto,0.09,,
Ponyta,14/106,Kiilto,0.09,,
Buizel,28/106,Kiilto,0.09,,
Spheal,037/198,Kiilto,0.09,,
Linoone,112/160,Kiilto,0.09,,
Weedle,5/108,Vanhat,0.09,,
Beautifly,013/217,Bulk,0.09,,
Dedenne,029/088,Bulk,0.07,,
Gastly,47/108,Vanhat,0.05,,
Gastly,47/108,Vanhat,0.05,,
