nimi,numero,kategoria,arvo_eur,kunto
Zubat,64/214,Kiilto,0.15,NM
Gastly,36/111,Kiilto,0.15,NM
Tyrogue,100/214,Kiilto,0.15,NM
Vanillish,34/145,Kiilto,0.15,NM
Pidgey,122/181,Kiilto,0.15,NM
Petilil,4/145,Kiilto,0.15,NM
Rockruff,73/145,Kiilto,0.15,NM
Doublade,61/122,Kiilto,0.15,NM
Weepinbell,2/145,Kiilto,0.15,NM
Piloswine,20/111,Kiilto,0.15,NM
Noctowl,107/147,Kiilto,0.15,NM
Mudkip,32/168,Kiilto,0.15,NM
Buneary,84/106,Kiilto,0.15,NM
Baltoy,57/163,Kiilto,0.15,NM
Skwovet,152/189,Kiilto,0.15,NM
Metang,94/168,Kiilto,0.15,NM
Flabébé,62/106,Kiilto,0.15,NM
Braixen,25/146,Kiilto,0.15,NM
Shelmet,8/111,Kiilto,0.15,NM
Ekans,47/146,Kiilto,0.15,NM
Koffing,73/214,Kiilto,0.15,NM
Carvanha,27/145,Kiilto,0.15,NM
Roselia,8/106,Kiilto,0.15,NM
Granbull,91/149,Kiilto,0.15,NM
Trapinch,32/70,Kiilto,0.15,NM
Gothita,52/145,Kiilto,0.15,NM
Illumise,71/106,Kiilto,0.15,NM
Shinx,74/99,Kiilto,0.15,NM
Jigglypuff,14/18,Kiilto,0.15,NM
Magmar,20/108,Vanhat,0.15,NM
Porygon,71/108,Vanhat,0.15,NM
Wormadam,44/124,Kiilto,0.14,NM
Litten,26/214,Kiilto,0.14,NM
Simisear,23/146,Kiilto,0.14,NM
Warp Energy,95/100,Kiilto,0.14,NM
Snom,052/217,Bulk,0.14,NM
Poliwhirl,24/108,Vanhat,0.13,NM
Tangela,8/108,Vanhat,0.13,NM
Staryu,020/088,Bulk,0.11,NM
Doduo,69/108,Vanhat,0.1,NM
Litleo,19/106,Kiilto,0.09,NM
Ponyta,14/106,Kiilto,0.09,NM
Buizel,28/106,Kiilto,0.09,NM
Spheal,037/198,Kiilto,0.09,NM
Linoone,112/160,Kiilto,0.09,NM
Weedle,5/108,Vanhat,0.09,NM
Beautifly,013/217,Bulk,0.09,NM
Dedenne,029/088,Bulk,0.07,NM
Gastly,47/108,Vanhat,0.05,NM
Gastly,47/108,Vanhat,0.05,NM
