nimi,numero,setti,hinta_usd,harvinaisuus_arvio
Togekiss,138/214,SM Unbroken Bonds,1.98,Rare
Marshadow,81/214,SM Unbroken Bonds,1.95,Rare
Pikachu,54/214,SM Unbroken Bonds,1.92,Common
Happiny,161/214,SM Unbroken Bonds,1.91,Common
Porygon-Z,157/214,SM Unbroken Bonds,1.50,Rare
Jigglypuff,134/214,SM Unbroken Bonds,1.32,Common
Clefable,133/214,SM Unbroken Bonds,1.22,Rare
Kartana,19/214,SM Unbroken Bonds,1.10,Rare Holo
"Pokegear 3.0",182/214,SM Unbroken Bonds,1.09,Uncommon
Togetic,137/214,SM Unbroken Bonds,1.04,Uncommon
Aromatisse,142/214,SM Unbroken Bonds,0.98,Rare
Vileplume,8/214,SM Unbroken Bonds,0.91,Rare
Purugly,160/214,SM Unbroken Bonds,0.78,Rare
Togepi,136/214,SM Unbroken Bonds,0.77,Common
"Red's Challenge",184/214,SM Unbroken Bonds,0.76,Uncommon
Wartortle,34/214,SM Unbroken Bonds,0.72,Uncommon
Volcanion,25/214,SM Unbroken Bonds,0.71,Rare
Quagsire,97/214,SM Unbroken Bonds,0.69,Uncommon
Squirtle,33/214,SM Unbroken Bonds,0.69,Common
Weezing,74/214,SM Unbroken Bonds,0.68,Uncommon
Kyurem,50/214,SM Unbroken Bonds,0.67,Rare
Poliwrath,39/214,SM Unbroken Bonds,0.67,Rare
Crobat,66/214,SM Unbroken Bonds,0.66,Rare
Golem,89/214,SM Unbroken Bonds,0.66,Uncommon
Marowak,91/214,SM Unbroken Bonds,0.66,Uncommon
Hitmontop,101/214,SM Unbroken Bonds,0.63,Uncommon
Wooper,96/214,SM Unbroken Bonds,0.63,Common
Meowstic,80/214,SM Unbroken Bonds,0.62,Uncommon
Raichu,55/214,SM Unbroken Bonds,0.60,Rare
Salazzle,31/214,SM Unbroken Bonds,0.60,Rare
Melmetal,129/214,SM Unbroken Bonds,0.57,Rare
Zeraora,60/214,SM Unbroken Bonds,0.56,Rare
Crabominable,105/214,SM Unbroken Bonds,0.53,Uncommon
Butterfree,4/214,SM Unbroken Bonds,0.50,Rare
"Alolan Dugtrio",122/214,SM Unbroken Bonds,0.49,Uncommon
Grubbin,18/214,SM Unbroken Bonds,0.49,Common
Gloom,7/214,SM Unbroken Bonds,0.48,Uncommon
Porygon2,156/214,SM Unbroken Bonds,0.47,Uncommon
Venomoth,11/214,SM Unbroken Bonds,0.47,Uncommon
Mismagius,78/214,SM Unbroken Bonds,0.46,Uncommon
Darumaka,23/214,SM Unbroken Bonds,0.45,Common
Haunter,69/214,SM Unbroken Bonds,0.45,Uncommon
Stunfisk,56/214,SM Unbroken Bonds,0.44,Common
Victreebel,15/214,SM Unbroken Bonds,0.44,Rare
Aggron,125/214,SM Unbroken Bonds,0.43,Rare
Clefairy,132/214,SM Unbroken Bonds,0.43,Common
Arbok,63/214,SM Unbroken Bonds,0.42,Uncommon
Incineroar,29/214,SM Unbroken Bonds,0.42,Rare
Kingler,47/214,SM Unbroken Bonds,0.42,Uncommon
Malamar,119/214,SM Unbroken Bonds,0.42,Uncommon
Persian,148/214,SM Unbroken Bonds,0.42,Uncommon
Landorus,103/214,SM Unbroken Bonds,0.41,Rare
Tangrowth,17/214,SM Unbroken Bonds,0.39,Rare
Dewgong,45/214,SM Unbroken Bonds,0.38,Uncommon
Genesect,127/214,SM Unbroken Bonds,0.38,Rare
Krookodile,116/214,SM Unbroken Bonds,0.38,Rare
Vikavolt,59/214,SM Unbroken Bonds,0.38,Rare
Sandslash,84/214,SM Unbroken Bonds,0.37,Uncommon
Slowpoke,42/214,SM Unbroken Bonds,0.37,Common
Espurr,79/214,SM Unbroken Bonds,0.36,Common
Hypno,72/214,SM Unbroken Bonds,0.36,Uncommon
Growlithe,21/214,SM Unbroken Bonds,0.35,Common
Riolu,102/214,SM Unbroken Bonds,0.35,Common
Welder,189/214,SM Unbroken Bonds,0.35,Uncommon
Dugtrio,86/214,SM Unbroken Bonds,0.34,Uncommon
Lickilicky,153/214,SM Unbroken Bonds,0.33,Rare
"Martial Arts Dojo",179/214,SM Unbroken Bonds,0.33,Uncommon
Rhyperior,95/214,SM Unbroken Bonds,0.33,Rare
Tyrogue,100/214,SM Unbroken Bonds,0.33,Common
Cubone,90/214,SM Unbroken Bonds,0.32,Common
Poliwhirl,38/214,SM Unbroken Bonds,0.32,Uncommon
"Triple Acceleration Energy",190/214,SM Unbroken Bonds,0.32,Uncommon
Dodrio,151/214,SM Unbroken Bonds,0.31,Rare
"Green's Exploration",175/214,SM Unbroken Bonds,0.31,Uncommon
Metapod,3/214,SM Unbroken Bonds,0.31,Common
Caterpie,2/214,SM Unbroken Bonds,0.30,Common
