kortti,kunto,harvinaisuus,setti,hinta_eur,varastossa_kpl,myynnissa_kpl
Absol ex 92/108 - EX Power Keepers,NM/M,Ultra Rare,EX Power Keepers,199.95,0,0
Absol EX XY62 - X&Y Promos,EX,Ultra Rare,X&Y Promos,29.55,1,1
Absol EX XY62 - X&Y Promos,GD,Ultra Rare,X&Y Promos,25.85,1,1
Absol EX XY62 - X&Y Promos,LP,Ultra Rare,X&Y Promos,22.15,2,2
Absol EX XY62 - X&Y Promos,PL,Promo,XY Black Star Promos,18.5,1,1
Absol GG16/GG70 - Crown Zenith,DMG,Holo Rare,Crown Zenith,8.4,2,2
Absol GG16/GG70 - Crown Zenith,NM/M,Holo Rare,Crown Zenith,21,0,0
Absol Lv.31 21/132 - Diamond & Pearl Secret Wonders,EX,Rare,Diamond & Pearl Secret Wonders,4.5,1,1
Absol Lv.31 21/132 - Diamond & Pearl Secret Wonders,GD,Rare,Diamond & Pearl Secret Wonders,3.3,1,1
Absol Lv.31 21/132 - Diamond & Pearl Secret Wonders,NM/M,Rare,Diamond & Pearl Secret Wonders,6,0,0
Absol Lv.31 21/132 Reverse Holo - Diamond & Pearl Secret Wonders,NM/M,Rare,Diamond & Pearl Secret Wonders,29.95,0,0
Academy at Night 054/64 - Scarlet & Violet Shrouded Fable,NM/M,Uncommon,Scarlet & Violet Shrouded Fable,0.5,7,7
Academy at Night 054/64 Reverse Holo - Scarlet & Violet Shrouded Fable,NM/M,Uncommon,Scarlet & Violet Shrouded Fable,1.5,4,4
Accelgor 008/101 - Black & White 10: Plasma Blast,NM/M,Rare,Black & White 10: Plasma Blast,1.5,0,0
Accelgor 008/101 Reverse Holo - Black & White 10: Plasma Blast,EX,Rare,Black & White 10: Plasma Blast,3,1,1
Accelgor 008/101 Reverse Holo - Black & White 10: Plasma Blast,GD,Rare,Black & White 10: Plasma Blast,2.6,2,2
Accelgor 008/101 Reverse Holo - Black & White 10: Plasma Blast,NM/M,Rare,Black & White 10: Plasma Blast,3.75,0,0
Accelgor 009/086 Master Ball Reverse Holo - Scarlet & Violet White Flare: Additionals,NM/M,Uncommon,Scarlet & Violet White Flare: Additionals,18,0,0
Accelgor 009/086 Poke Ball Reverse Holo - Scarlet & Violet White Flare: Additionals,NM/M,Uncommon,Scarlet & Violet White Flare: Additionals,1.5,0,0
Accelgor 010/189 Reverse Holo - Sword & Shield Darkness Ablaze,NM/M,Rare,Sword & Shield Darkness Ablaze,1.25,2,2
Accelgor 012/101 - Black & White 3: Noble Victories,NM/M,Rare,Black & White 3: Noble Victories,4.5,0,0
Accelgor 012/101 Reverse Holo - Black & White 3: Noble Victories,NM/M,Rare,Black & White 3: Noble Victories,3.75,0,0
Accelgor 014/264 Reverse Holo - Sword & Shield Fusion Strike,NM/M,Rare,Sword & Shield Fusion Strike,1.25,0,0
Accelgor 094/086 - Scarlet & Violet White Flare,DMG,Illustration Rare,Scarlet & Violet White Flare,9.5,1,1
Accelgor 094/086 - Scarlet & Violet White Flare,NM/M,Illustration Rare,Scarlet & Violet White Flare,19,1,1
Accelgor 10/189 - Sword & Shield Darkness Ablaze,NM/M,Rare,Sword & Shield Darkness Ablaze,1,0,0
Accelgor 11/108 Reverse Holo - Black & White 5: Dark Explorers,NM/M,Rare,Black & White 5: Dark Explorers,3.25,0,0
Accelgor 14/264 - Sword & Shield Fusion Strike,NM/M,Rare,Sword & Shield Fusion Strike,1,2,2
Accompanying Flute 142/167 - Scarlet & Violet Twilight Masquerade,NM/M,Uncommon,Scarlet & Violet Twilight Masquerade,1,7,7
Accompanying Flute 142/167 Reverse Holo - Scarlet & Violet Twilight Masquerade,NM/M,Uncommon,Scarlet & Violet Twilight Masquerade,1,0,0
Ace Trainer 069/098 Reverse Holo - X&Y Ancient Origins,NM/M,Uncommon,X&Y Ancient Origins,1.5,1,1
Ace Trainer 69/98 - X&Y Ancient Origins,NM/M,Uncommon,X&Y Ancient Origins,1.25,3,3
Acerola 112/147 - Sun & Moon Burning Shadows,NM/M,Uncommon,Sun & Moon Burning Shadows,1.75,3,3
Acerola 112/147 Reverse Holo - Sun & Moon Burning Shadows,NM/M,Uncommon,Sun & Moon Burning Shadows,0.75,0,0
Acerola Full Art 142/147 - Sun & Moon Burning Shadows,EX,Ultra Rare,Sun & Moon Burning Shadows,43.95,1,1
Acerola Full Art 142/147 - Sun & Moon Burning Shadows,NM/M,Ultra Rare,Sun & Moon Burning Shadows,54.95,2,2
Acerola's Mischief 113 - Mega Evolution,NM/M,Uncommon,Mega Evolution,0.75,0,0
Acerola's Mischief 113 Reverse Holo - Mega Evolution,NM/M,Uncommon,Mega Evolution,1,0,0
Acerola's Mischief 165 - Mega Evolution,NM/M,Ultra Rare,Mega Evolution,5,1,1
Acerola's Mischief 180 - Ascended Heroes,NM/M,Uncommon,Ascended Heroes,0.5,5,5
Acerola's Mischief 180 Reverse Holo - Ascended Heroes,NM/M,Uncommon,Ascended Heroes,1,0,0
Acerola's Mischief 183 - Mega Evolution,NM/M,Special Illustration Rare,Mega Evolution,46.95,0,0
Acerola's Premonition 129/172 - Sword & Shield Brilliant Stars,NM/M,Uncommon,Sword & Shield Brilliant Stars,0.5,15,15
Acerola's Premonition Reverse Holo 129/172 - Sword & Shield Brilliant Stars,NM/M,Uncommon,Sword & Shield Brilliant Stars,0.5,0,0
Acerola's Premonition TG24/TCG30 - Sword & Shield Brilliant Stars,NM/M,Ultra Rare,Sword & Shield Brilliant Stars,11,0,0
Acro Bike 122/160 - X&Y Primal Clash,NM/M,Uncommon,X&Y Primal Clash,0.75,1,1
Acro Bike 122/160 Reverse Holo - X&Y Primal Clash,EX,Uncommon,X&Y Primal Clash,1.9,1,1
Acro Bike 122/160 Reverse Holo - X&Y Primal Clash,NM/M,Uncommon,X&Y Primal Clash,3.75,0,0
Acro Bike 123/168 - Sun & Moon Celestial Storm,NM/M,Uncommon,Sun & Moon Celestial Storm,0.75,4,4
Acro Bike 123/168 Reverse Holo - Sun & Moon Celestial Storm,NM/M,Uncommon,Sun & Moon Celestial Storm,1.5,1,1
Acro Bike 123a/168 - Sun & Moon Celestial Storm,NM/M,Promo,Sun & Moon Celestial Storm,0.75,1,1
Acro Bike Secret Rare 178/168 - Sun & Moon Celestial Storm,NM/M,Secret Rare,Sun & Moon Celestial Storm,15.5,2,2
Adaman 135/189 - Sword & Shield Astral Radiance,NM/M,Holo Rare,Sword & Shield Astral Radiance,0.5,0,0
Adaman 135/189 - Sword & Shield Astral Radiance,NM/M,Holo Rare,Sword & Shield Astral Radiance,1,0,0
Adaman Full Art 181/189 - Sword & Shield Astral Radiance,NM/M,Ultra Rare,Sword & Shield Astral Radiance,7.5,0,0
Adaman Full Art GG57/GG70 - Crown Zenith,NM/M,Ultra Rare,Crown Zenith,5.5,1,1
Adaman Full Art GG57/GG70 - Crown Zenith,PL,Ultra Rare,Crown Zenith,2.75,1,1
Adaman Hyper Rare 199/189 - Sword & Shield Astral Radiance,LP,Secret Rare,Sword & Shield Astral Radiance,6.3,1,1
Adaman Hyper Rare 199/189 - Sword & Shield Astral Radiance,NM/M,Hyper Rare,Sword & Shield Astral Radiance,10.5,5,5
Adventure Bag 167/214  - Sun & Moon Lost Thunder,NM/M,Uncommon,Sun & Moon Lost Thunder,3.5,0,0
Adventure Bag 167/214 Reverse Holo - Sun & Moon Lost Thunder,NM/M,Uncommon,Sun & Moon Lost Thunder,5,0,0
Adventure Bag Secret Rare 228/214 - Sun & Moon Lost Thunder,NM/M,Secret Rare,Sun & Moon Lost Thunder,14.5,2,2
Adventurer's Discovery 224/264 - Sword & Shield Fusion Strike,NM/M,Uncommon,Sword & Shield Fusion Strike,0.5,5,5
Adventurer's Discovery Full Art TG23/TG30 - Sword & Shield Lost Origin,EX,Ultra Rare,Sword & Shield Lost Origin,4.8,1,1
Adventurer's Discovery Full Art TG23/TG30 - Sword & Shield Lost Origin,NM/M,Ultra Rare,Sword & Shield Lost Origin,6,1,1
Adventurer's Discovery Reverse Holo 224/264 - Sword & Shield Fusion Strike,NM/M,Uncommon,Sword & Shield Fusion Strike,1,1,1
Adversity Policy 074 - Chaos Rising,NM/M,Uncommon,Chaos Rising,1,0,0
Adversity Policy 074 Reverse Holo - Chaos Rising,NM/M,Uncommon,Chaos Rising,1.25,0,0
Aegislash 049/131 Reverse Holo - Sun & Moon Forbidden Light,NM/M,Rare,Sun & Moon Forbidden Light,1.75,0,0
Aegislash 062/122 Reverse Holo - X&Y BREAKpoint,NM/M,Holo Rare,X&Y BREAKpoint,2.75,0,0
Aegislash 085/146 - X&Y (Base Set),NM/M,Rare,X&Y (Base Set),2.25,0,0
Aegislash 085/146 Reverse Holo - X&Y (Base Set),NM/M,Rare,X&Y (Base Set),5,0,0
Aegislash 086/146 - X&Y (Base Set),GD,Holo Rare,X&Y (Base Set),2.6,1,1
Aegislash 086/146 - X&Y (Base Set),NM/M,Holo Rare,X&Y (Base Set),3.75,0,0
Aegislash 100/160 - X&Y Primal Clash,EX,Holo Rare,X&Y Primal Clash,2.2,1,1
Aegislash 100/160 - X&Y Primal Clash,NM/M,Holo Rare,X&Y Primal Clash,2.75,1,1
Aegislash 100/160 Reverse Holo - X&Y Primal Clash,EX,Holo Rare,X&Y Primal Clash,2.2,1,1
Aegislash 100/160 Reverse Holo - X&Y Primal Clash,NM/M,Holo Rare,X&Y Primal Clash,2.75,1,1
Aegislash 107/163 - Sword & Shield Battle Styles,NM/M,Holo Rare,Sword & Shield Battle Styles,1,1,1
Aegislash 107/163 Reverse Holo - Sword & Shield Battle Styles,NM/M,Holo Rare,Sword & Shield Battle Styles,1.5,0,0
Aegislash 108/163 - Sword & Shield Battle Styles,NM/M,Rare,Sword & Shield Battle Styles,0.5,4,4
Aegislash 108/163 Reverse Holo - Sword & Shield Battle Styles,NM/M,Rare,Sword & Shield Battle Styles,1.5,0,0
Aegislash 109/181 - Sun & Moon Team Up,EX,Holo Rare,Sun & Moon Team Up,2.2,1,1
Aegislash 109/181 - Sun & Moon Team Up,NM/M,Holo Rare,Sun & Moon Team Up,2.75,0,0
Aegislash 109/181 Reverse Holo - Sun & Moon Team Up,NM/M,Rare,Sun & Moon Team Up,2.75,0,0
Aegislash 134/182 - Scarlet & Violet Paradox Rift,NM/M,Rare,Scarlet & Violet Paradox Rift,0.75,6,6
Aegislash 134/182 Reverse Holo - Scarlet & Violet Paradox Rift,NM/M,Rare,Scarlet & Violet Paradox Rift,1,2,2
Aegislash 135/192 - Sword & Shield Rebel Clash,NM/M,Rare,Sword & Shield Rebel Clash,1.75,0,0
Aegislash 135/192 Reverse Holo - Sword & Shield Rebel Clash,NM/M,Rare,Sword & Shield Rebel Clash,2.25,1,1
Aegislash 210/182 - Scarlet & Violet Paradox Rift,NM/M,Illustration Rare,Scarlet & Violet Paradox Rift,13.5,7,7
Aegislash 49/131 - Sun & Moon Forbidden Light,NM/M,Rare,Sun & Moon Forbidden Light,1.5,0,0
Aegislash 62/122 - X&Y BREAKpoint,NM/M,Holo Rare,X&Y BREAKpoint,1.5,0,0
Aegislash 95/236 - Sun & Moon Unified Minds,NM/M,Holo Rare,Sun & Moon Unified Minds,3.25,0,0
Aegislash 95/236 Reverse Holo - Sun & Moon Unified Minds,NM/M,Rare,Sun & Moon Unified Minds,3.25,0,0
Aegislash ex 135/182 - Scarlet & Violet Paradox Rift,EX,Amazing Rare,Scarlet & Violet Paradox Rift,2.8,6,6
Aegislash ex 135/182 - Scarlet & Violet Paradox Rift,NM/M,Double Rare,Scarlet & Violet Paradox Rift,3.5,10,10
Aegislash ex 230/182 - Scarlet & Violet Paradox Rift,EX,Ultra Rare,Scarlet & Violet Paradox Rift,4,1,1
Aegislash ex 230/182 - Scarlet & Violet Paradox Rift,NM/M,Ultra Rare,Scarlet & Violet Paradox Rift,5,3,3
Aegislash EX 65/119 - X&Y Phantom Forces,DMG,Ultra Rare,X&Y Phantom Forces,2.5,3,3
Aegislash EX 65/119 - X&Y Phantom Forces,LP,Ultra Rare,X&Y Phantom Forces,4.1,2,2
Aegislash EX 65/119 - X&Y Phantom Forces,NM/M,Ultra Rare,X&Y Phantom Forces,5,1,1
Aegislash EX 65a/119 - X&Y Phantom Forces,EX,Promo,X&Y Phantom Forces,18,1,1
Aegislash EX 65a/119 - X&Y Phantom Forces,GD,Promo,X&Y Phantom Forces,15.75,1,1
Aegislash EX 65a/119 - X&Y Phantom Forces,NM/M,Promo,X&Y Phantom Forces,22.5,0,0
Aegislash V 126/185 - Sword & Shield Vivid Voltage,NM/M,Ultra Rare,Sword & Shield Vivid Voltage,3,5,5
Aegislash V 126/185 - Sword & Shield Vivid Voltage,PL,Ultra Rare,Sword & Shield Vivid Voltage,1.5,1,1
Aegislash V Full Art 177/185 - Sword & Shield Vivid Voltage,LP,Ultra Rare,Sword & Shield Vivid Voltage,4.2,4,4
Aegislash V Full Art 177/185 - Sword & Shield Vivid Voltage,NM/M,Ultra Rare,Sword & Shield Vivid Voltage,7,0,0
Aegislash VMAX 127/185 - Sword & Shield Vivid Voltage,EX,Ultra Rare,Sword & Shield Vivid Voltage,3.4,1,1
Aegislash VMAX 127/185 - Sword & Shield Vivid Voltage,GD,Ultra Rare,Sword & Shield Vivid Voltage,3,1,1
Aegislash VMAX 127/185 - Sword & Shield Vivid Voltage,LP,Ultra Rare,Sword & Shield Vivid Voltage,2.55,1,1
Aegislash VMAX 127/185 - Sword & Shield Vivid Voltage,NM/M,Ultra Rare,Sword & Shield Vivid Voltage,4.25,2,2
Aegislash VMAX Hyper Rare 190/185 - Sword & Shield Vivid Voltage,NM/M,Hyper Rare,Sword & Shield Vivid Voltage,9.5,1,1
Aerodactyl 053/108 - Black & White 5: Dark Explorers,EX,Rare,Black & White 5: Dark Explorers,12,1,1
Aerodactyl 053/108 - Black & White 5: Dark Explorers,NM/M,Rare,Black & White 5: Dark Explorers,15,0,0
Aerodactyl 1/062 - Fossil,DMG,Holo Rare,Fossil,9.9,1,1
Aerodactyl 1/062 - Fossil,GD,Holo Rare,Fossil,24,1,1
Aerodactyl 1/062 - Fossil,LP,Holo Rare,Fossil,19.2,4,4
Aerodactyl 1/062 - Fossil,NM/M,Holo Rare,Fossil,59.95,0,0
Aerodactyl 1/062 1st Edition - Fossil,EX,Promo,Fossil,47.95,1,1
Aerodactyl 1/062 1st Edition - Fossil,NM/M,Promo,Fossil,79.95,0,0
Aerodactyl 1/092 - EX Legend Maker,NM/M,Holo Rare,EX Legend Maker,64.95,0,0
Aerodactyl 1/092 Reverse Holo - EX Legend Maker,NM/M,Holo Rare,EX Legend Maker,101.95,0,0
Aerodactyl 1/144 - Skyridge,NM/M,Rare,Skyridge,67.95,0,0
Aerodactyl 1/144 Reverse Holo - Skyridge,NM/M,Rare,Skyridge,93.95,0,0
Aerodactyl 130/181 - Sun & Moon Team Up,NM/M,Rare,Sun & Moon Team Up,3.75,0,0
Aerodactyl 130/181 Reverse Holo - Sun & Moon Team Up,EX,Rare,Sun & Moon Team Up,3.6,1,1
Aerodactyl 130/181 Reverse Holo - Sun & Moon Team Up,NM/M,Rare,Sun & Moon Team Up,4.5,0,0
Aerodactyl 142/165 - Scarlet & Violet 151,NM/M,Rare,Scarlet & Violet 151,1.75,0,0
Aerodactyl 142/165 Reverse Holo - Scarlet & Violet 151,NM/M,Rare,Scarlet & Violet 151,3.75,0,0
Aerodactyl 15/064 - Neo Revelation,DMG,Rare,Neo Revelation,3.9,3,3
Aerodactyl 15/064 - Neo Revelation,EX,Rare,Neo Revelation,11.6,1,1
Aerodactyl 15/064 - Neo Revelation,GD,Rare,Neo Revelation,8.5,2,2
