nimi,numero,setti,hinta_usd,harvinaisuus_arvio
Porygon,71/108,XY Evolutions,0.16,Uncommon (arvio)
Geodude,110/165,Expedition,5.00,Common (e-kortti-aikakausi)
Bagon,42/70,SM Dragon Majesty,0.22,Common
Kangaskhan,55/70,SM Dragon Majesty,0.20,Common (arvio)
Wishiwashi,31/70,SM Dragon Majesty,0.29,Common
Chikorita,2/25,McDonald's 25th Anniversary,0.50,Promo
Treecko,3/25,McDonald's 25th Anniversary,0.42,Promo
Turtwig,4/25,McDonald's 25th Anniversary,0.43,Promo
Snivy (holo),5/25,McDonald's 25th Anniversary,2.00,"Promo Holo (arvio)"
Rowlet,7/25,McDonald's 25th Anniversary,0.41,Promo
Chimchar,12/25,McDonald's 25th Anniversary,0.40,Promo
Scorbunny,16/25,McDonald's 25th Anniversary,0.47,Promo
Totodile,18/25,McDonald's 25th Anniversary,0.67,Promo
Mudkip,19/25,McDonald's 25th Anniversary,0.91,Promo
Piplup,20/25,McDonald's 25th Anniversary,1.06,"Promo - 3 kpl"
Sobble,24/25,McDonald's 25th Anniversary,0.62,"Promo - 3 kpl"
Growlithe,10/99,BW Next Destinies,0.25,Common (arvio)
Slugma,67/90,HGSS Undaunted,0.30,Common (arvio)
"Magmortar LV.X",123/123,Mysterious Treasures,10.00,"Ultra Rare - kortissa taittumia/vaurioita, arvo alempi"
Persian,27/123,HeartGold & SoulSilver,0.30,Uncommon (arvio)
Lapras,24/123,HeartGold & SoulSilver,0.45,Rare (arvio)
Victreebel,3/145,SM Guardians Rising,0.30,Rare
Mightyena,87/181,SM Team Up,0.20,Uncommon (arvio)
Krookodile,71/146,XY Primal Clash,0.30,Rare (arvio)
Rayquaza,106/145,SM Guardians Rising,2.00,"Rare - 2 kpl"
Yanmega,4/119,XY Phantom Forces,0.25,Rare (arvio)
Honchkrow,79/145,SM Guardians Rising,0.35,Rare (arvio)
"Fasasnob (Pidgeot, saksa)",86/114,XY Furious Fists,0.30,Rare (arvio)
Raticate,34/90,HGSS Undaunted,0.25,Uncommon (arvio)
Swellow,104/145,SM Guardians Rising,0.20,Uncommon (arvio)
Furret,82/106,SM Celestial Storm,0.20,Uncommon (arvio)
"Alolan Muk",84/181,SM Team Up,0.30,Rare (arvio)
Pinsir,9/181,SM Team Up,0.20,Uncommon (arvio)
Raticate,88/122,XY Steam Siege,0.25,Rare (arvio)
Quilava,49/123,HeartGold & SoulSilver,0.20,Uncommon (arvio)
Golem,47/106,SM Celestial Storm,0.25,Rare (arvio)
Empoleon,56/236,SM Unified Minds,0.40,Rare (arvio)
Raichu,10/123,HeartGold & SoulSilver,0.35,Rare (arvio)
Drapion,53/156,SM Ultra Prism,0.25,Rare (arvio)
Kartana,101/168,SM Ultra Prism,0.50,"Ultra Beast (arvio)"
Zygarde,53/124,XY Fates Collide,0.30,Rare (arvio)
Golurk,72/101,XY Furious Fists,0.20,Uncommon (arvio)
Gyarados,31/113,SM Cosmic Eclipse,0.30,Rare (arvio)
Sunflora,31/123,HeartGold & SoulSilver,0.20,Uncommon (arvio)
Snorlax,80/106,SM Celestial Storm,0.35,Rare (arvio)
"Zacian V",138/202,SWSH Base Set,2.50,Ultra Rare V
"Zamazenta V",139/202,SWSH Base Set,3.00,Ultra Rare V
"Pikachu V",043/185,SWSH Vivid Voltage,3.00,Ultra Rare V
"Charizard V",013/185,SWSH Champions Path,15.00,"Ultra Rare V (arvio)"
"Lucario V",079/189,SWSH Darkness Ablaze,1.50,Ultra Rare V (arvio)
"Eldegoss V",019/192,SWSH Rebel Clash,1.00,Ultra Rare V (arvio)
"Dragapult V",092/192,SWSH Rebel Clash,2.00,Ultra Rare V (arvio)
"Grimmsnarl V",115/192,SWSH Rebel Clash,1.50,Ultra Rare V (arvio)
"Toxtricity V",070/192,SWSH Rebel Clash,1.00,Ultra Rare V (arvio)
"Dedenne GX",195/236,SM Unified Minds,2.00,Ultra Rare GX (arvio)
"Mewtwo & Mew-GX",071/236,SM Unified Minds,5.00,Tag Team GX (arvio)
"Lucario & Melmetal-GX",203/214,SM Unbroken Bonds,3.00,Tag Team GX (arvio)
"Reshiram & Charizard-GX",020/214,SM Unbroken Bonds,15.00,"Tag Team GX (arvio, suosittu)"
"Pikachu & Zekrom-GX",033/181,SM Team Up,3.00,Tag Team GX (arvio)
"Gardevoir & Sylveon-GX",205/214,SM Unbroken Bonds,4.00,Tag Team GX (arvio)
"Rowlet & Alolan Exeggutor-GX",001/214,SM Unbroken Bonds,2.00,Tag Team GX (arvio)
"Greninja & Zoroark-GX",107/214,SM Unbroken Bonds,3.00,Tag Team GX (arvio)
"Naganadel & Guzzlord-GX",224/236,SM Unified Minds,3.00,Tag Team GX (arvio)
"Arceus & Dialga & Palkia-GX",156/236,SM Unified Minds,3.00,Tag Team GX (arvio)
"Venusaur ex",003/165,SV 151,4.00,Double Rare ex (arvio)
"Charizard ex",006/165,SV 151,8.00,Double Rare ex (arvio)
"Blastoise ex",009/165,SV 151,4.00,Double Rare ex (arvio)
"Aerodactyl LV.47",13/99,DP Mysterious Treasures,1.00,Rare Holo (arvio)
"Charizard EX",12/108,XY Evolutions,10.00,Ultra Rare EX (arvio)
"Blastoise EX",21/108,XY Evolutions,4.00,Ultra Rare EX (arvio)
"Articuno GX",154/168,SM Ultra Prism,3.00,Ultra Rare GX (arvio)
"Espeon EX",52/122,XY BREAKpoint,4.00,Ultra Rare EX (arvio)
"Mewtwo EX",XY107,XY Black Star Promo,3.00,Promo EX (arvio)
"Tapu Koko Prism Star",51/181,SM Team Up,3.00,Prism Star (arvio)
"Turtonator GX",18/145,SM Guardians Rising,2.00,Ultra Rare GX (arvio)
"Garchomp C LV.X",145/147,DP Supreme Victors,6.00,LV.X (arvio)
"Galarian Articuno V",058/198,SWSH Chilling Reign,1.50,Ultra Rare V (arvio)
"Spidops ex",243/198,SV Twilight Masquerade,0.50,Secret Rare ex (arvio)
"Surfing Pikachu VMAX",009/025,McDonald's 25th Anniversary,8.00,VMAX Promo (arvio)
"Genesect",10/101,BW Plasma Freeze,0.30,Rare (arvio)
"Litten",26/214,SM Burning Shadows,0.15,Common (arvio)
"Eevee",12/12,Detective Pikachu,0.50,Common (arvio)
"Beedrill",5/146,XY Base Set,0.20,Uncommon (arvio)
"Alolan Sandshrew",4/12,Detective Pikachu,0.60,Common (arvio)
"Krookodile",85/149,BW Noble Victories,0.25,Rare (arvio)
"Delphox",13/124,XY Phantom Forces,0.30,Rare (arvio)
"Magcargo",21/146,XY Base Set,0.20,Uncommon (arvio)
"Lapras",5/12,Detective Pikachu,0.70,Common (arvio)
"Ponyta",14/106,XY Flashfire,0.10,Common (arvio)
"Malamar",76/146,XY Base Set,0.20,Uncommon (arvio)
"Simisear",23/146,XY Base Set,0.15,Uncommon (arvio)
"Clamperl",49/166,XY Roaring Skies,0.10,Common (arvio)
"Yveltal",019/025,SM Promo,0.60,Promo (arvio)
"Team Aqua's Poochyena",55/95,EX Team Magma vs Team Aqua,0.30,Common (arvio)
"Buizel",28/106,XY Flashfire,0.10,Common (arvio)
"Alolan Sandslash",20/145,SM Guardians Rising,0.20,Rare (arvio)
"Corphish",42/66,EX Power Keepers,0.15,Common (arvio)
"Frogadier",40/146,XY Base Set,0.10,Uncommon (arvio)
"Pokemon Fan Club",94/106,XY Flashfire,0.20,Uncommon Trainer (arvio)
"Faba",208/214,SM Unbroken Bonds,0.30,Supporter (arvio)
"Repel",130/149,BW Noble Victories,0.15,Item (arvio)
"Warp Energy",95/100,BW Plasma Storm,0.15,Special Energy (arvio)
"Black Market",134/181,SM Team Up,0.15,Stadium (arvio)
"Lillie",147/149,SM Ultra Prism,1.00,Supporter (suosittu, arvio)
"Muscle Band",121/146,XY Base Set,0.15,Item (arvio)
"Life Forest",180/214,SM Unbroken Bonds,0.15,Stadium (arvio)
"Linoone",112/160,XY Primal Clash,0.10,Uncommon (arvio)
"Brock's Grit",74/108,XY Evolutions,0.20,Supporter (arvio)
"Life Dew",107/116,BW Dragons Exalted,0.15,Item (arvio)
"Max Potion",103/122,XY BREAKpoint,0.15,Item (arvio)
"Doctor",134/198,SM Lost Thunder,0.15,Supporter (arvio)
"Professor Oak's Hint",84/108,XY Evolutions,0.20,Supporter (arvio)
"Professor's Research",024/025,SM Promo,0.50,Supporter (arvio)
"Heat Factory",178/214,SM Unbroken Bonds,0.15,Stadium (arvio)
"Wishful Baton",128/147,SM Ultra Prism,0.15,Item (arvio)
"Tormenting Spray",125/147,SM Ultra Prism,0.15,Item (arvio)
"Pokemon Center Lady",105/106,XY Flashfire,0.30,Supporter (arvio)
"Caitlin",78/101,BW Plasma Freeze,0.20,Supporter (arvio)
"Welder",189/214,SM Unbroken Bonds,1.50,"Supporter (suosittu, arvio)"
"Spheal",037/198,SWSH Chilling Reign,0.10,Common (arvio)
"Cassius",115/146,XY Base Set,0.15,Supporter (arvio)
"Frozen City",100/116,BW Dragons Exalted,0.15,Stadium (arvio)
"Gold Potion",140/149,BW Noble Victories,0.15,Item (arvio)
"Kabuto",78/181,SM Team Up,0.10,Uncommon (arvio)
"Electrode",40/108,XY Evolutions,0.15,Uncommon (arvio)
"Snorlax",131/202,SWSH Base Set,0.20,Rare (arvio)
"Rillaboom",014/202,SWSH Base Set,0.20,Rare (arvio)
"Cinderace",034/202,SWSH Base Set,0.20,Rare (arvio)
"Inteleon",058/202,SWSH Base Set,0.20,Rare (arvio)
"Boss's Orders",114/192,SWSH Rebel Clash,1.50,"Supporter (suosittu, arvio)"
"Quick Ball",179/202,SWSH Base Set,0.60,Item (arvio)
"Professor's Research (SWSH)",201/202,SWSH Base Set,0.40,Supporter (arvio)
Litleo,19/106,XY Flashfire,0.10,Common (arvio)
Wormadam,44/124,XY Phantom Forces,0.15,Uncommon (arvio)
Blacephalon,032/214,SM Unbroken Bonds,0.20,Rare (arvio)
Pidgey,121/181,SM Team Up,0.10,Common (arvio)
Pidgeotto,122/181,SM Team Up,0.10,Uncommon (arvio)
Pidgeot,123/181,SM Team Up,0.20,Rare (arvio)
Bulbasaur,001/165,SV 151,0.15,Common (arvio)
Ivysaur,002/165,SV 151,0.15,Uncommon (arvio)
Charmander,004/165,SV 151,0.15,Common (arvio)
Charmeleon,005/165,SV 151,0.15,Uncommon (arvio)
Squirtle,007/165,SV 151,0.15,Common (arvio)
Wartortle,008/165,SV 151,0.15,Uncommon (arvio)
Caterpie,010/165,SV 151,0.15,Common (arvio)
Metapod,011/165,SV 151,0.15,Uncommon (arvio)
Butterfree,012/165,SV 151,0.20,Rare (arvio)
Weedle,013/165,SV 151,0.15,Common (arvio)
Kakuna,014/165,SV 151,0.15,Uncommon (arvio)
Beedrill,015/165,SV 151,0.20,Rare (arvio)
Pidgey,016/165,SV 151,0.15,Common (arvio)
Pidgeotto,017/165,SV 151,0.15,Uncommon (arvio)
Pidgeot,018/165,SV 151,0.20,Rare (arvio)
Rattata,019/165,SV 151,0.15,Common (arvio)
Raticate,020/165,SV 151,0.15,Uncommon (arvio)
Spearow,021/165,SV 151,0.15,Common (arvio)
Fearow,022/165,SV 151,0.15,Uncommon (arvio)
Ekans,023/165,SV 151,0.15,Common (arvio)
Arbok,024/165,SV 151,0.15,Uncommon (arvio)
Pikachu,025/165,SV 151,0.30,Common (suosittu, arvio)
Raichu,026/165,SV 151,0.20,Uncommon (arvio)
Sandshrew,027/165,SV 151,0.15,Common (arvio)
Sandslash,028/165,SV 151,0.15,Uncommon (arvio)
"Nidoran (F)",029/165,SV 151,0.15,Common (arvio)
Nidorina,030/165,SV 151,0.15,Uncommon (arvio)
Nidoqueen,031/165,SV 151,0.20,Rare (arvio)
"Nidoran (M)",032/165,SV 151,0.15,Common (arvio)
Nidorino,033/165,SV 151,0.15,Uncommon (arvio)
Nidoking,034/165,SV 151,0.20,Rare (arvio)
Clefairy,035/165,SV 151,0.15,Common (arvio)
Clefable,036/165,SV 151,0.20,Uncommon (arvio)
Vulpix,037/165,SV 151,0.15,Common (arvio)
Ninetales,038/165,SV 151,0.30,Rare (suosittu, arvio)
Ampharos,029/086,ME Chaos Rising,1.09,Rare
Trevenant,039/086,"ME Chaos Rising",1.09,"Rare - 2 kpl"
Trevenant,039/086,"ME Chaos Rising",1.09,"Rare - 2 kpl"
Vileplume,003/094,ME Phantasmal Flames,1.09,Uncommon
Yveltal,088/132,ME Mega Evolution,1.09,Rare
Hoopa,141/217,ME Ascended Heroes,1.63,"Rare (Reverse Holo)"
Rayquaza,153/217,ME Ascended Heroes,3.26,"Rare (Reverse Holo)"
"Galarian Zigzagoon",130/217,ME Ascended Heroes,0.82,"Common (Reverse Holo)"
Carbink,117/217,ME Ascended Heroes,0.34,"Uncommon (Reverse Holo)"
Meditite,103/217,ME Ascended Heroes,0.27,"Common (Reverse Holo)"
Beautifly,013/217,ME Ascended Heroes,0.10,Uncommon
Salazzle,035/217,ME Ascended Heroes,0.26,"Uncommon (Reverse Holo)"
Snom,052/217,ME Ascended Heroes,0.15,Common
Dedenne,029/088,ME Perfect Order,0.08,Common
Staryu,020/088,ME Perfect Order,0.12,Common
Espurr,095/088,ME Perfect Order,4.86,Rare
Froakie,020/086,ME Chaos Rising,0.22,"Common (Reverse Holo)"
Tangela,006/132,ME Mega Evolution,0.22,"Common (Reverse Holo)"
Watchog,071/086,"ME Chaos Rising (arvio, ei tarkkaa osumaa)",0.50,Uncommon (arvio)
"Moltres ex",013/094,"ME Phantasmal Flames (arvio, ei tarkkaa osumaa)",0.33,Ultra Rare (arvio)
Ninetales,020/133,"Setti epavarma (arvio, ei tarkkaa osumaa)",0.22,Rare (arvio)
Xerneas,091/086,ME Chaos Rising,16.85,Illustration Rare
